epoch,train_nll,valid_nll,test_nll,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_auc,valid_auc,test_auc,train_auprc,valid_auprc,test_auprc,train_mse_oob,valid_mse_oob,test_mse_oob
0,0.01143727913766064,0.02076007864487506,0.02076007864487506,0.002447216503858752,0.006016889649313284,0.006016889649313284,0.0033653320230250714,0.008672414556767299,0.008672414556767299,,,,,,,1.4431200949481475,0.15427574422870668,0.15427574422870668
1,0.00969674902550036,0.01670335296377752,0.01670335296377752,0.0019393601952904078,0.0007736344198576067,0.0007736344198576067,0.003277691438912432,0.0031097246993719283,0.0031097246993719283,,,,,,,0.7727812182563858,0.2949199349559947,0.2949199349559947
2,0.007822546457994222,0.016751683591676402,0.016751683591676402,0.0008115975185289725,0.0012542333369330774,0.0012542333369330774,0.002214587422655652,0.003959525682317977,0.003959525682317977,,,,,,,0.7738006750765718,0.5295636831276821,0.5295636831276821
3,0.009505296666594651,0.015005058896796014,0.015005058896796014,0.0006001381324972153,0.0008177453717582037,0.0008177453717582037,0.001894713258952374,0.0031970319181537895,0.0031970319181537895,,,,,,,0.9885843390820577,0.5712088591616118,0.5712088591616118
4,0.006579602869855107,0.01361987192970442,0.01361987192970442,0.00036080182012549107,0.0009497651920468284,0.0009497651920468284,0.0014937567143940979,0.0034455817424077677,0.0034455817424077677,,,,,,,0.9086196090149121,0.25693866144133853,0.25693866144133853
5,0.00623830890586796,0.011681795806692255,0.011681795806692255,0.00035400179730218266,0.0004283807638918542,0.0004283807638918542,0.0014745358082925264,0.0023138349092432296,0.0023138349092432296,,,,,,,0.6653822890533843,0.393305087106202,0.393305087106202
6,0.005927590493602623,0.012024646078168768,0.012024646078168768,0.00024531225713094097,0.0006122461444770856,0.0006122461444770856,0.001235710842457484,0.0027663048307446573,0.0027663048307446573,,,,,,,0.9640976356621318,0.48338803173874445,0.48338803173874445
7,0.005794635037383094,0.010835097710681581,0.010835097710681581,0.0002890240169657761,0.0004363154711149168,0.0004363154711149168,0.0013431256658420858,0.002335329038692837,0.002335329038692837,,,,,,,1.061914254481404,0.43559271883673073,0.43559271883673073
8,0.005087114315000543,0.009235335279032263,0.009235335279032263,0.00018245534332136907,0.0002742666645312038,0.0002742666645312038,0.001065311168644132,0.001851407969961929,0.001851407969961929,,,,,,,0.9333394884408015,0.35259113273766374,0.35259113273766374
9,0.00425075797354133,0.00689436084017653,0.00689436084017653,0.00011955311994253655,0.00012676543830737505,0.00012676543830737505,0.0008620908463371322,0.00125868444322412,0.00125868444322412,,,,,,,0.8053293261369683,0.34428418304600833,0.34428418304600833
10,0.0028303765267681086,0.003603576942009302,0.003603576942009302,4.6084669840285874e-05,4.3786353766667027e-05,4.3786353766667027e-05,0.0005340488307530571,0.0007373182866103476,0.0007373182866103476,,,,,,,0.8076881376844187,0.4085917315298725,0.4085917315298725
11,0.001960728477326724,0.05724310253550875,0.05724310253550875,2.7560336258883158e-05,0.0007337381829649098,0.0007337381829649098,0.0003988945704600512,0.0030284467857575868,0.0030284467857575868,,,,,,,0.8324759506221688,0.40129138915809637,0.40129138915809637
12,0.012817692776095454,0.009135875121594089,0.009135875121594089,0.0002647317361722179,0.00036928419561331715,0.00036928419561331715,0.0012133656947217956,0.002148161601640122,0.002148161601640122,,,,,,,0.8800888187443533,0.35686216679886773,0.35686216679886773
13,0.0036336572241092656,0.008362508475839714,0.008362508475839714,0.00013558797732376809,0.0004120222547163998,0.0004120222547163998,0.0009150527932664701,0.0022694137334397053,0.0022694137334397053,,,,,,,0.7387978185653346,0.38970284695468255,0.38970284695468255
14,0.004214666747292975,0.0086288362544741,0.0086288362544741,0.00029180000697809697,0.0007345238793553284,0.0007345238793553284,0.0013441081109671856,0.003030104267465424,0.003030104267465424,,,,,,,0.7411575225781298,0.3621830067660956,0.3621830067660956
15,0.004291460870471714,0.008335514958144611,0.008335514958144611,0.00037227587812751817,0.0006543680082980792,0.0006543680082980792,0.0015250804538948285,0.002859992854604703,0.002859992854604703,,,,,,,0.7692561054231171,0.39719224814085013,0.39719224814085013
16,0.004135617433360732,0.00821384907191188,0.00821384907191188,0.0003028343861690012,0.0004630349150530601,0.0004630349150530601,0.0013739967284233075,0.0024058128793571325,0.0024058128793571325,,,,,,,0.7551679104316656,0.35980585093155526,0.35980585093155526
17,0.003969825847639249,0.007694994646977281,0.007694994646977281,0.00021062280620268124,0.00032587399117871356,0.00032587399117871356,0.0011457302596951124,0.002018262569610636,0.002018262569610636,,,,,,,0.7562402605427715,0.35567628914185995,0.35567628914185995
18,0.0036372702105352066,0.007075810173344442,0.007075810173344442,0.00014606949464462642,0.00022581728876080965,0.00022581728876080965,0.000954022724310505,0.0016800220629903824,0.0016800220629903824,,,,,,,0.7390903507574764,0.31370637048614447,0.31370637048614447
19,0.003312951993580192,0.006226396981627885,0.006226396981627885,0.00010172119641167526,0.00016434118963854847,0.00016434118963854847,0.0007965000197670401,0.0014330348696603209,0.0014330348696603209,,,,,,,0.688657079053486,0.30549831541035577,0.30549831541035577
20,0.002919921403715604,0.005373015024502441,0.005373015024502441,7.447214672257724e-05,0.00012398767224540056,0.00012398767224540056,0.000681729788578787,0.00124450936752087,0.00124450936752087,,,,,,,0.6429379090466278,0.28657699737071385,0.28657699737071385
21,0.0024044839463344876,0.004176274021632008,0.004176274021632008,5.509070579957897e-05,8.67226338718099e-05,8.67226338718099e-05,0.0005863558179809089,0.0010406585560757613,0.0010406585560757613,,,,,,,0.5898370496501701,0.2510116352949856,0.2510116352949856
